"model","gene_set","n_present","mean_z_in_set","mean_z_background","delta_mean_z","median_z_in_set","direction","p.value","leading_genes","FDR"
"TAC_high_adjusted_for_CAF","REACTOME_INTERLEUKIN_2_SIGNALING",12,-1.0916336326951,0.564987687341476,-1.65662132003658,-1.93417953901385,"negative",0.000732770131689872,"SHC1;SYK;PTK2B;STAT5B;JAK1;LCK;IL2RB;IL2;STAT5A;IL2RG",0.00264572292739949
"TAC_high_adjusted_for_CAF","REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL",135,0.0244177552853241,0.569323945813276,-0.544906190527952,0.067299983271989,"negative",0.00074715374461369,"SLC3A2;SLC7A8;SLC7A11;HRAS;GPC1;CD44;ITGA6;SLC7A5;ATP1B3;PIK3CA",0.00269118686908816
"TAC_high_adjusted_for_CAF","REACTOME_JOSEPHIN_DOMAIN_DUBS",10,2.36307096285501,0.561927033453394,1.80114392940162,2.25748396486738,"positive",0.000757963128051379,"JOSD1;UBC;RAD23B;RAD23A;VCP;RPS27A;UBB;ATXN3L;UBA52;ATXN3",0.00272358999601237
"TAC_high_adjusted_for_CAF","REACTOME_GOLGI_ASSOCIATED_VESICLE_BIOGENESIS",43,1.33329928378421,0.560698406763745,0.77260087702047,1.36700645740603,"positive",0.000787082038460804,"FTH1;TPD52L1;ACBD3;TFRC;CLTA;AP3B1;AP1B1;IGF2R;TPD52;AP3S1",0.00281708596571416
"TAC_high_adjusted_for_CAF","REACTOME_IRAK1_RECRUITS_IKK_COMPLEX",12,1.99963877942128,0.561988393280562,1.43765038614072,1.90735182063505,"positive",0.00078773375872167,"UBC;IKBKG;TRAF6;UBE2N;RPS27A;IRAK1;CHUK;IKBKB;PELI1;UBB",0.00281708596571416
"TAC_high_adjusted_for_CAF","REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS",35,1.38518465842649,0.561051976541282,0.824132681885207,1.38918779859706,"positive",0.000803024949424819,"HUS1;RFC5;CDC45;ORC4;MCM4;RFC4;RPA1;CDK2;ORC6;MCM5",0.00286494886944437
"TAC_high_adjusted_for_CAF","REACTOME_RHOQ_GTPASE_CYCLE",49,1.32192781858127,0.560367662828366,0.761560155752902,1.62697240259176,"positive",0.000806483351034434,"SLC1A5;PAK2;TFRC;PAK4;IQGAP1;RAB7A;SCRIB;GJA1;OBSCN;PLEKHG3",0.00287046917832635
"TAC_high_adjusted_for_CAF","REACTOME_MAPK1_MAPK3_SIGNALING",240,0.904810218843476,0.556632097275503,0.348178121567973,1.08382827129241,"positive",0.000809125651270582,"ABHD17B;NEFL;PSMD11;HBEGF;PTK2;ARTN;ACTG1;PSMD14;UBC;HRAS",0.00287306555132013
"TAC_high_adjusted_for_CAF","REACTOME_TRANS_GOLGI_NETWORK_VESICLE_BUDDING",57,1.23181331009651,0.560290088028202,0.671523222068303,1.3568135615795,"positive",0.000811541959992702,"FTH1;TPD52L1;ACBD3;TFRC;CLTA;HGS;AP3B1;AP1B1;IGF2R;TPD52",0.00287484911299302
"TAC_high_adjusted_for_CAF","REACTOME_OXIDATIVE_STRESS_INDUCED_SENESCENCE",59,1.2496857197286,0.560095500039207,0.689590219689397,1.24663481718248,"positive",0.000817824152405897,"UBC;TXN;KDM6B;CDKN2D;MAP4K4;CBX6;MAPK1;CDK4;CBX4;RNF2",0.0028902867692086
