"signature","sample","condition","compartment","n_cells","weighted_z","abs_weight","signature_score","n_genes_present"
"Core_CAF_interaction_positive_top200","P61T","Tumor","Fibroblast",178,-57.9858322359609,502.278013993144,-0.115445690674313,194
"Core_CAF_interaction_positive_top200","P61T","Tumor","Myeloid",122,-84.562300401781,466.563530148686,-0.181244985811112,180
"Core_CAF_interaction_positive_top200","P61T","Tumor","Tcell",1671,-173.610192362023,466.563530148686,-0.372104078316402,180
"Core_CAF_interaction_positive_top200","P62T","Tumor","Epithelial",953,297.540823090555,502.278013993144,0.592382733867018,194
"Core_CAF_interaction_positive_top200","P62T","Tumor","Fibroblast",37,177.021384283768,502.278013993144,0.352437055479367,194
"Core_CAF_interaction_positive_top200","P62T","Tumor","Myeloid",134,-76.5310834903818,466.563530148686,-0.164031430973597,180
"Core_CAF_interaction_positive_top200","P62T","Tumor","Tcell",897,-111.925442393706,466.563530148686,-0.239893251746525,180
"Core_CAF_interaction_positive_top200","P63T","Tumor","Epithelial",24,-191.540112572648,502.278013993144,-0.381342816600493,194
"Core_CAF_interaction_positive_top200","P63T","Tumor","Fibroblast",40,241.308783878151,502.278013993144,0.480428721057746,194
"Core_CAF_interaction_positive_top200","P63T","Tumor","Myeloid",315,-135.381197816596,466.563530148686,-0.290166695569738,180
"Core_CAF_interaction_positive_top200","P63T","Tumor","Tcell",874,-166.002893733291,466.563530148686,-0.355799120605052,180
"Core_CAF_interaction_positive_top200","P65T","Tumor","Epithelial",358,72.9184213979921,502.278013993144,0.145175419521722,194
"Core_CAF_interaction_positive_top200","P65T","Tumor","Fibroblast",847,107.844789853664,502.278013993144,0.214711348793253,194
"Core_CAF_interaction_positive_top200","P65T","Tumor","Myeloid",256,-163.041850323544,466.563530148686,-0.349452624965318,180
"Core_CAF_interaction_positive_top200","P65T","Tumor","Tcell",1011,-247.621752550696,466.563530148686,-0.530735337311477,180
"Core_CAF_interaction_positive_top200","P74T","Tumor","Epithelial",318,165.469939535524,502.278013993144,0.329438946013238,194
"Core_CAF_interaction_positive_top200","P74T","Tumor","Fibroblast",211,216.151494625091,502.278013993144,0.43034233751677,194
"Core_CAF_interaction_positive_top200","P74T","Tumor","Myeloid",319,-72.6837396853988,466.563530148686,-0.155785300368925,180
"Core_CAF_interaction_positive_top200","P74T","Tumor","Tcell",927,-119.190780770351,466.563530148686,-0.25546527550571,180
"Core_CAF_interaction_positive_top200","P75T","Tumor","Epithelial",403,248.755606645494,502.278013993144,0.49525481847766,194
"Core_CAF_interaction_positive_top200","P75T","Tumor","Fibroblast",309,93.8238868606253,502.278013993144,0.186796722625223,194
"Core_CAF_interaction_positive_top200","P75T","Tumor","Myeloid",282,-263.961479933598,466.563530148686,-0.565756778823836,180
"Core_CAF_interaction_positive_top200","P75T","Tumor","Tcell",1301,-185.529046671553,466.563530148686,-0.39765012625918,180
