"sample_label","stage","feature","value","source_type","rank"
"sample 3","ESCC","CD68_macrophage_IF",127.606,"IF quantification",3
"sample 4","NE","alpha_SMA_fibroblast_IF",12.379,"IF quantification",0
"sample 4","LGIN","alpha_SMA_fibroblast_IF",19.1465,"IF quantification",1
"sample 4","HGIN","alpha_SMA_fibroblast_IF",16.9413333333333,"IF quantification",2
"sample 4","ESCC","alpha_SMA_fibroblast_IF",33.291,"IF quantification",3
"sample 4","NE","CD68_macrophage_IF",49.506,"IF quantification",0
"sample 4","LGIN","CD68_macrophage_IF",101.8915,"IF quantification",1
"sample 4","HGIN","CD68_macrophage_IF",58.558,"IF quantification",2
"sample 4","ESCC","CD68_macrophage_IF",133.569,"IF quantification",3
"sample 5","NE","alpha_SMA_fibroblast_IF",10.384,"IF quantification",0
"sample 5","LGIN","alpha_SMA_fibroblast_IF",18.9383333333333,"IF quantification",1
"sample 5","HGIN","alpha_SMA_fibroblast_IF",19.7856666666667,"IF quantification",2
